17/12/2024|AKDITAL|AKT|1 065,00|1 059,00|1 075,00|1 058,00|22 037|23 492 514,00|138|14 994 600 213,00
16/12/2024|AKDITAL|AKT|1 067,00|1 065,00|1 070,00|1 057,00|6 190|6 612 856,00|102|15 079 555 455,00
13/12/2024|AKDITAL|AKT|1 058,00|1 053,00|1 062,00|1 050,00|15 043|15 859 260,00|121|14 909 644 971,00
12/12/2024|AKDITAL|AKT|1 060,00|1 060,00|1 064,00|1 051,00|5 459|5 778 249,00|72|15 008 759 420,00
11/12/2024|AKDITAL|AKT|1 066,00|1 058,00|1 066,00|1 051,00|3 641|3 846 792,00|83|14 980 441 006,00
10/12/2024|AKDITAL|AKT|1 056,00|1 060,00|1 067,00|1 050,00|3 568|3 764 824,00|84|15 008 759 420,00
09/12/2024|AKDITAL|AKT|1 072,00|1 056,00|1 072,00|1 053,00|901|954 112,00|63|14 952 122 592,00
06/12/2024|AKDITAL|AKT|1 068,00|1 070,00|1 071,00|1 067,00|3 848|4 112 838,00|91|15 150 351 490,00
05/12/2024|AKDITAL|AKT|1 063,00|1 067,00|1 074,00|1 060,00|10 299|10 976 360,00|111|15 107 873 869,00
04/12/2024|AKDITAL|AKT|1 069,00|1 065,00|1 074,00|1 063,00|5 961|6 351 252,00|87|15 079 555 455,00
03/12/2024|AKDITAL|AKT|1 062,00|1 072,00|1 079,00|1 061,00|32 295|34 603 277,00|103|15 178 669 904,00
02/12/2024|AKDITAL|AKT|1 085,00|1 064,00|1 085,00|1 046,00|5 112|5 485 520,00|126|15 065 396 248,00
29/11/2024|AKDITAL|AKT|1 086,00|1 080,00|1 091,00|1 080,00|31 396|34 072 270,00|140|15 291 943 560,00
28/11/2024|AKDITAL|AKT|1 095,00|1 091,00|1 099,00|1 078,00|15 409|16 797 862,00|179|15 447 694 837,00
27/11/2024|AKDITAL|AKT|1 074,00|1 085,00|1 093,00|1 074,00|24 191|26 205 648,00|172|15 362 739 595,00
26/11/2024|AKDITAL|AKT|1 052,00|1 069,00|1 074,00|1 052,00|2 382|2 530 752,00|112|15 136 192 283,00
25/11/2024|AKDITAL|AKT|1 073,00|1 055,00|1 075,00|1 050,00|15 068|15 935 282,00|167|14 937 963 385,00
22/11/2024|AKDITAL|AKT|1 079,00|1 072,00|1 088,00|1 065,00|7 856|8 447 482,00|141|15 178 669 904,00
21/11/2024|AKDITAL|AKT|1 095,00|1 076,00|1 095,00|1 075,00|10 485|11 317 121,00|199|15 235 306 732,00
20/11/2024|AKDITAL|AKT|1 092,00|1 086,00|1 099,00|1 085,00|9 057|9 883 704,00|162|15 376 898 802,00
19/11/2024|AKDITAL|AKT|1 080,00|1 096,00|1 100,00|1 075,00|13 637|14 903 525,00|236|15 518 490 872,00
